"","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"72",14.8738933659364,1.65134685936297,18.2466816041654,12.9450398939158,9.13530398764507,22.504089428517,77.7941143899708,35.0358244499307,-0.0005686275401944,-0.04764171893753,0.0570548405634701,0.074596304272988,0.0396628906686171,0.010123801494477,0.017329917179478,0.016826525582555,0.014795509965044,0.013358768670198,50.9939760371258,28.3236974459156,66.575225072659,70.3021854405613,60.3428470201869,58.756764171481,56.2945007752557,9.81238550568286,18.0178153185064,20.5325242989555,3.69118271418814,35.1573872439727,26.1232137238306,7.48310255109353,20.7054178109295,0.759845096442425,20.5881654791804,37.7137158045553,9.17064099136434,51.8850006162452,94.6572637647829,15.2374420999511,15.6699997937553,20.7964817175601,4.45970684304562,8.25415666234581,7.88110753527087,6.07963111390513
"84",9.9863682788523,1.40711445473071,11.2399431341464,4.10685247682609,8.128323870398,4.74273415216601,71.952968978162,37.3341362795728,0.0004248637685708,0.07160255102143,0.0786839448682499,0.0434126309777521,0.0306782715509969,0.00909883461245298,-0.00245844029689002,-0.00124406757999307,0.00157961352303504,0.00308988604332605,45.0823318907069,29.8315124753969,63.4952356345941,67.1129533998242,59.2027537740157,60.2696635473565,60.3618784824671,10.2937576810198,19.5028596764181,19.1381204493392,3.37517096021729,31.194378058039,26.2473329493977,7.59056726159289,17.7646212290743,1.41286574477435,15.6624629882618,32.6117313249951,8.14296483886412,50.9243350519518,93.775036038416,15.0020858719731,12.9775545367893,17.1889670070117,5.50035291972226,6.31575493896752,7.32163008702266,4.84528345463899
"96",6.475017797906,1.1272408138066,6.76229881748699,2.1312168743742,7.2844096919066,2.00374614009598,67.704779670267,34.807418947504,0.0006084812854032,0.03676914064492,-0.01488078552156,-0.0107890874745802,0.00276233489089306,0.00755221215174395,0.00205565419176001,0.000152999443061019,-0.000246109480635082,-0.000324665892583065,46.9366635899344,21.5433205743681,60.9979305630816,68.7407391473912,57.7980483503411,58.450670207516,58.2896789750635,8.88230997220411,16.468728671558,18.3118105881667,2.97926117474352,30.2143967899354,24.7621983126638,7.20263968952943,15.5731517045595,1.62543539543035,12.1512874933135,30.8975640972375,7.29160165341722,50.782801307005,88.922295568819,14.434575713517,13.4798081784296,17.9037958616039,4.64172544674762,7.11002669639152,7.02814914674544,5.23252905465753
"721",6.6050229591026,1.12051055610698,5.0034846220111,16.9014187757765,8.67127311345543,-0.721534478139006,40.6009917535297,17.9893480430977,-0.00245208516148277,0.016659853650455,0.1199748824712,0.17890160303639,0.19880859580701,0.00642229764328106,0.00265273495724094,0.00181091356530705,0.00381785321415795,0.00506845482693408,73.1780936938023,22.4046832612611,77.9881589456288,87.410154430609,52.1826195741444,70.404933089579,70.1034573719352,17.0703076010218,26.8797284808921,26.7618289202491,3.68834366825944,28.6150398462954,14.1124339089338,5.99251678900598,10.572652104818,0.912653487625973,8.33043407469666,42.1059626117352,8.6700129059351,46.6258610105718,50.8267514492188,11.5313373308596,11.9899137913631,18.9249105712293,2.49292532959745,4.99437460622981,3.23793281093632,5.75919252313275
"841",1.616815045718,0.80054564055771,1.8648002829476,5.0104947245711,6.9631400090281,-6.87663630639399,34.931946212633,16.5761098533063,-0.00111852734994346,-0.112129661632466,-0.08516211305555,-0.0403040455668702,-0.01084283064516,0.019518915945184,0.023163523940647,0.02346578498624,0.0237893315120941,0.023599314275498,68.5800865795566,22.6253812578621,73.78060915669,74.2755027567694,39.457908339114,68.311605037031,70.3667623812538,16.0722685632231,28.1446264529596,20.8812624852329,2.99681716175467,21.1005310349708,12.4794691251415,5.24913054941617,9.29488738354328,0.921889996999095,5.88457611049028,30.432470043198,6.95263174383399,34.3112974833321,44.0650697741548,9.94151799467759,7.435557813942,12.6377913191575,2.63610084140796,2.65036157107663,2.32247474328128,3.76937863744044
"961",-0.912045167234602,1.16639376246202,1.4002737405138,1.95701558846339,5.7884710677587,-3.46612799630101,31.066419747538,14.1809825738408,-0.00025504293233524,-0.0947487137473291,-0.04708233183224,0.000280053737480079,0.0188034191787698,0.0296528052433981,0.025614784176323,0.027933396830092,0.029270505466864,0.03020751333103,74.335549247045,26.5368299593648,73.1546268073958,67.3832540761172,34.466095065627,67.1225431568682,62.9341904292931,10.6677009565186,18.2237427476414,18.1646506114102,2.49121237704042,17.7755947164249,10.815221477102,4.54742563899661,10.7229701959005,0.925780954870347,4.68705666435313,26.8933759052536,5.76952304133958,28.5160269457715,38.032818972464,8.58540702529103,5.93564964359287,9.93583394636259,1.97587576001429,2.33482389821274,1.76080667242275,2.88646471283319
"722",11.0842717853036,9.44535451931563,15.9651415191638,17.666610355157,10.251178457545,51.733733812431,149.666023690745,55.1422378398214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.9743540721751,42.0239959372861,NA,NA,NA,69.3953141583216,64.15757414104,18.737554949002,19.2735625264774,NA,NA,NA,NA,NA,19.9084334126552,1.81087113621228,24.9891639196947,44.0864861713051,10.392519018126,80.8523424308308,183.139052495083,17.0228372554849,NA,29.813941358314,NA,NA,7.82907436608058,NA
"842",7.0666622326575,13.2962840218552,9.9443240075705,11.5922354505247,8.2732505877951,22.756955426839,123.11937326398,51.5642731476399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6502443109081,39.9530545096112,NA,NA,NA,74.6462010216776,71.6440887276799,23.0411057716316,21.5699551980568,NA,NA,NA,NA,NA,18.0997102686997,2.32779261990915,23.2287127807385,38.9716040222239,8.35615460572257,74.2723551136716,157.184833838507,15.2616473998024,NA,22.4050880901636,NA,NA,6.75541999446963,NA
"962",3.1374998143762,10.5133118079985,5.6744274437472,9.42420474218801,7.1895708778412,12.477915900638,105.415295139764,46.348932231313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3075825819697,38.7961330640608,NA,NA,NA,73.5154481702473,69.7472292666465,22.1554484752694,20.3143488208399,NA,NA,NA,NA,NA,17.6663384483142,3.19653401948337,20.0690545113876,35.8102499538385,7.10540393629439,67.0375376675118,135.33535640298,13.8674163036983,NA,21.1619054425053,NA,NA,5.57840546933959,NA
"723",8.2482695761735,16.1791371879538,16.6902486278219,12.4808402509504,10.834168043397,34.797294629231,132.178634297392,52.5180894881738,0.00827794970929556,-0.585597780902564,0.0271992048944498,0.03438800216698,-0.0296231157473898,0.0221004363833899,0.0193265680264498,0.01681688777516,0.01508880151655,0.01383084795784,46.3663891814645,26.1513256887878,80.3759686787467,82.189718686861,79.3487689566579,48.6757938512335,48.1574158570591,14.7024425514204,19.2617787830935,26.3349697297859,4.79202178178159,42.2804130397011,45.9878021399978,6.20127248595499,16.1716582201159,2.58990135068298,28.1973571359782,47.3587159875041,11.4265772355715,74.196477006146,161.614982875942,11.993531228446,18.3906261656656,31.6699422266265,9.66797413590196,4.97319629710083,10.4798609426912,7.82107256446511
