"","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","dQC1","dQC2","dQC3","dQC4","dQC5","dQC6","dQC7","dQC8","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","QCt13_sd1","QCt14_sd1","QCt15_sd1","QCt16_sd1","QCt17_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"72",42.2781781946095,2.98800825768267,16.7878196781271,71.1555658260558,20.7241075371864,113.695811562278,174.006005172749,57.348001893111,8.4435564888136,1.36598241769397,2.3356541584088,10.1141396477252,7.5498629983668,15.0525983039865,62.2274503636695,21.2925732733702,0.0616231444639692,0.31552052918915,-0.2206602473526,0.01485866631654,0.0878906597735459,0.261546521373833,0.202977350493048,0.110289082027084,0.04763992770382,0.00692959895973,36.3922718497734,23.7982267114986,49.1966679094456,65.7507048280348,57.202830140449,37.4681176081842,38.9717027580197,5.07649013091612,9.22911269815064,23.0576385371097,4.39524673426921,31.6354973694409,27.2079646867576,7.07296007260244,23.6451731526934,0.682263693453905,11.1400631181336,39.2827103235425,10.3546918980675,47.559021266288,98.6802287541322,13.8412293264568,2.84754102696026,23.7508985961234,48.8366227592352,29.3184525430454,29.3486147658651,5.32119154024258,37.1270523050381,33.571002315192,8.67894302065335,10.7940225288134,8.66592977305774,2.13932689598905,4.91254561519742,13.5592134666936,19.3340413117755,3.44277329556924,6.58676487012485,5.05863401346328,4.9554704379285
"84",53.4227659430288,4.01996284456119,21.4068764663821,75.1258179186997,29.6795401433833,118.268579797438,254.39939718987,85.0282238748294,5.2628615184144,1.31999572700994,1.498822891955,4.03706663814251,6.4487215185614,3.56677531023199,58.386425513455,21.5080796615442,0.0581059250031745,0.05433679404964,-0.22866236242204,0.03166195071828,-0.0097901121358831,0.0791517044304479,0.0849172223897049,0.034900507512051,-0.002323722697957,-0.027102243332003,38.8159357182664,28.0754079018084,49.1024829295646,67.2798824257727,55.8100800979777,43.8261438360084,45.0457151496302,5.47215905378382,10.0969748632344,20.6027258704912,3.9593874297924,30.088182993409,27.2847249099841,7.11058646725164,19.5890319957692,1.23279833880074,10.0663158720947,33.3402462822202,9.10046881481305,45.9217259741008,96.7074035948976,13.5912845676064,2.50262192805203,20.8870785989646,47.8920443939011,26.8952675415057,28.0947701446113,5.18836844163337,38.7334193029158,36.4036203242113,9.44508450623255,14.8345828706033,11.1415053205734,2.41055963518719,12.2439354370715,9.76274581173699,15.2856297176411,4.21844908685909,4.1363447318317,4.42267479936424,3.9726191882909
"96",58.4958416947671,4.20475516327105,25.8190400395139,77.7590287144996,37.5372888726775,119.406121091907,332.757123586822,111.82154828675,-1.1128605029291,0.77767422723794,3.0350003456275,3.31114962343391,6.0631035827764,1.20990874574301,58.766599601219,21.9043131584727,0.0360238954435248,0.13978343794685,-0.42067648094218,-0.24736425588217,-0.23614411271569,0.119737343271374,0.0912602016373489,0.0213803002928391,-0.025546031646043,-0.0546921104682709,42.3697681286943,20.9065183215373,48.3547001249235,64.8288562523573,53.6850123528805,44.2608833967142,42.630647750311,4.57445979384128,10.750430162372,19.4556590246624,3.43164240026404,29.321297786433,25.8621784799484,6.77433304040337,17.0523197510287,1.18636680806195,8.32708341098408,30.7124652173776,8.00284697559941,46.4061095791309,92.6484933069215,13.0963118618355,2.20079994959401,19.5249650673499,45.8669585539433,26.2492727410169,25.1826978043111,4.33692219610726,36.4845645174999,33.3314445230531,8.70096983822648,16.7530409994715,11.4076593390657,2.00534581800303,9.37284675851044,10.7924421901779,16.2010070723905,3.57493809755125,5.14490396122485,4.22136192461389,4.24985595815722
"721",25.6846628231396,3.98143577555544,16.5321858574545,84.5627135261703,20.3717784917268,84.7473057201942,120.992459357075,50.0863062577638,4.1757278016923,2.13000403155396,1.5674540173116,13.1739773474139,6.7592706257962,3.84448936293289,37.5549052251322,15.2055353476246,0.0400400555206481,0.242766477690881,-0.0414318042253199,-0.21688642072186,-0.05835369558825,0.00662415279903983,-0.10157253248424,-0.14582680395549,-0.16415394944201,-0.16858024971656,39.4539709339797,19.1779924798178,56.1927122735648,61.1130254885151,54.4057401690871,36.2487187868559,33.9174267574533,5.65044091848917,9.94774210907045,25.8181807141742,4.3127832487354,29.3323944116558,18.8273896727989,5.02337612604124,10.6683800479383,1.20332402251339,10.1777873696901,42.15965418966,10.202349858731,47.9759874744551,65.6081332842071,9.78437780533642,2.80565679294519,26.5140042288049,32.5166279841359,27.0092189467845,28.1391624724689,5.08274326738343,30.2469976030856,22.7578220902613,6.27861017721722,8.36724690143086,8.54027865898918,4.80215269011717,2.13178660067767,9.18401679705357,15.6787663890429,2.32874773854986,3.77106430845957,2.13671831716033,4.5726679386994
"841",29.5455272791724,6.70049363292472,19.2185278125485,89.7692340209337,28.5217884770921,82.3576049615748,167.936738095055,67.8018611541642,2.4907328791341,2.77617572872533,1.1940012046029,6.12745051570539,5.655039382209,-1.4425244975979,32.602731093601,14.1999332555684,0.0352572000999842,0.199118034465482,-0.12768237773919,-0.33517065692557,-0.18890844031712,-0.0831025825127198,-0.17752438405045,-0.19674277411166,-0.19508153603895,-0.18639987843039,41.1348124941439,20.9489280131866,51.9971731981364,50.7609965884497,43.8694997569537,38.8543156958498,35.7754635174006,5.90164083210231,12.1000882748781,20.7464209962411,3.52973149974898,23.1865498798281,16.7896410341954,4.39071215967213,8.70675013438457,1.68208575994749,7.96668362223922,31.4970975789933,8.26757083818518,37.5007258437294,57.6303718105181,8.40372623161042,2.27358657536185,21.0008037408731,28.5505502279882,20.2144347692402,23.1147819273218,4.48379570806201,26.3280409542509,21.9039269237271,6.00079490821517,8.67934441000025,8.91527494505826,5.12052920679682,4.73234127107486,5.60526893059706,10.8452709730029,2.43251728618997,1.70012171796639,1.61438175377792,3.13835610721215
"961",30.5231595941405,7.71569235011952,21.1144211870737,92.5621699225897,35.2904902714961,81.3464958680446,208.81233808401,83.6186136778399,2.8722893314272,1.68235618450504,1.4574297062325,4.45896856306629,5.101434492789,-0.568436902868086,30.578391476631,13.5619964970541,0.0209129720540809,0.175154593888647,0.0373032103339099,-0.26884374968766,-0.21473453413512,-0.11386961140002,-0.211212854193145,-0.22576390147445,-0.21777703616907,-0.20349338986576,46.8162713330159,23.5504173225094,50.73995354566,50.9131027114369,38.8865221733555,35.6308138018469,31.0514875658335,4.80592159972629,12.0541412122324,18.4485629627393,2.91052811422428,19.9323553655364,14.5105126473185,3.81113693931233,9.21073912270998,1.80871644364688,6.03803096259451,28.3000585671411,6.80777954549341,32.5145695895308,49.6720775425582,7.2669616715146,1.87213551215619,18.5922143980783,24.612125417502,17.105047071568,19.615064803604,3.66552729071666,22.6287934371092,19.0030822029337,5.23683420023416,7.90229350356084,9.07705488579314,4.8301203964963,4.492252035219,4.66271840325841,8.75805529097666,1.80408698582513,1.52341127722337,1.20751880699322,2.58140847568127
"722",18.1682928415051,13.9582599945138,15.3176987448612,86.2525797895292,25.5345276367697,114.575262439599,76.9359021107352,61.8715698974661,3.9978590360238,7.40810897224978,-0.4386723697242,7.4860945103234,9.5968785545337,8.995867094953,24.0116686173398,23.2798968986509,0.0429671452854254,0.431335181796497,0.07934021335838,-0.12388073820746,-0.0088325340292299,0.51583108739559,0.49816668715714,0.45964078293021,0.0101147887210802,-0.00323463434773008,56.7796567889189,45.4674369380239,71.0706832362899,70.1525637763646,60.1681566935496,31.5430866070511,27.4534759399471,9.27279244929756,15.1521037651721,22.8360478584964,5.63336095277638,38.1646070700065,16.0018629274221,10.4866465972174,13.8099464836372,2.24855804460824,16.8145000756999,41.5069815003064,12.8032494080879,54.7084474232001,57.5816720710415,19.781382653466,3.52089215276791,28.1432411356118,30.435401217433,39.843290662006,21.7558594624085,5.14669360164806,34.0255906042961,14.3786285431214,9.63043396797516,15.354322918253,21.5584815327978,14.1577722343299,15.7347430964939,11.0121684526811,19.1168121504833,4.71683249015457,3.86105234853306,3.82943578815088,6.08973012212873
"842",21.6035242111847,22.8245621886159,18.8446188188667,92.3604054597495,35.4816714843356,117.678427371584,102.974969367411,89.0539762379222,3.9530742348459,7.0210410817406,0.796909496935999,2.35274144297091,7.4939704269366,2.68474287229199,18.1975304845473,20.6699877915983,0.0426128330200133,0.273383521591777,-0.19984119436772,-0.38239934405364,-0.13334884583632,0.32705590327419,0.0872150469497299,0.15056603417259,-0.03852771645218,-0.0399353050795601,56.8786759276847,35.8291536219735,67.108553210071,57.017596039411,50.962503279379,33.1114764296917,28.9967670407941,9.33105929939012,15.1150246163078,20.2557672660093,4.43202042605636,30.4632986954689,14.1903211204365,9.32961325909765,13.3886909365895,2.92723758300301,17.1841484845128,35.7435714157441,9.96811401393965,43.4717999073247,50.8749649426004,17.407886066139,2.74122235451024,24.6203641668514,26.6358288532874,34.4982055576474,20.1815168708398,4.49016606028341,28.6202786408117,13.6821615062594,9.58864275506699,15.3182203174174,21.1168335173311,13.5753222902588,6.19216284458908,7.5194131320897,14.1459139477579,4.90721431498915,1.84584092616596,3.28559630943957,4.50082080232124
"962",22.987464446194,26.5932234005088,21.6128345893444,95.5556811547228,43.8190225095556,120.632827265085,125.022979978814,112.702474142668,5.457741359381,4.7099397766547,1.6258993373363,0.180462322690602,6.6460076961199,2.749024542648,16.986459262891,19.6462854045449,0.0281741549661046,0.111421682636414,-0.25456016261719,-0.54700383874214,-0.53314347001041,-0.43619880692359,2.32650879716313,0.19336029098527,-0.13160700424087,-0.0984884846385101,58.4126374568182,37.3194854632804,426.779220258432,428.560637194145,415.563247822751,31.8660959314721,26.8976407114143,7.90587019298291,13.9599409621785,137.860022937184,6.57413721130354,179.293362513362,91.9990070281489,19.3272240926894,14.2856810361947,2.59437643887937,14.574723244461,30.3206182812941,8.1849447807407,27.4179963562091,32.3521283209651,15.7657532454626,2.25086953685388,22.3416458513423,17.1176121271571,29.0838981093441,18.5024001592357,3.70998229088601,21.7519270036959,8.96484228703846,8.84333957678741,14.7760696841032,17.7799853567187,9.77879198334686,6.31559507418869,4956.3516042457,12.7841615946254,26.0871959209424,4580.66379166485,2.7480262852947,375.401143690109
"723",25.3997466768273,2.42447934582965,17.2367417000353,84.3150355089876,20.8513478931854,156.326571108164,259.592472859477,93.2753589508529,3.5961106065745,0.69026533780886,2.5907754315454,5.6552362313999,7.0608282305715,21.807386336889,84.01321954497,31.5933838598267,0.0920518362941383,0.920068102325643,0.56599640710105,0.5141002555952,0.41853397271665,0.87980005513809,0.80683130693089,0.63533143341998,0.497370393745,0.39967005413315,37.9513580001908,20.1652118410749,75.6084472915009,78.1711448970503,78.9890517656532,39.2419931373459,40.6675048204575,6.15590090103605,10.4459785412036,24.4598178890774,4.59581360142923,41.3861704119954,43.6536487957661,6.30921854366332,11.589156164466,0.492650331195278,8.60146983464675,38.9629922596705,10.6118505791086,68.8003758618308,154.751542223756,11.9225458023437,2.91826828232216,29.5695241672646,77.0323402820922,48.7929319786591,21.3637022759668,4.11519839478333,32.2273468458221,40.1767730072783,5.88697198970223,8.4698592450057,6.95043431137685,1.96809323123484,4.06309292969201,19.9423019483011,31.8642881819907,8.4878385591947,6.43582495088038,10.2021002645432,7.8651517668572
