"","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt8_sd1.1","QCt9_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"72",19.0038060462722,1.2283680273595,5.35628403785006,11.7160691495151,9.7252865622252,18.4031036757008,87.6112376715186,33.4307568496598,0.00185873962121907,-0.0264588338546199,-0.14847672242584,-0.0200042078204299,0.092367352968753,-0.018699479449265,-0.011883113849753,-0.0118226074848999,-0.012989535938035,-0.013833887257263,40.0384810700708,20.4637316807189,50.6210748111983,63.6323971499469,56.3316747183706,38.1964982966577,37.2322425817245,5.1845736814255,8.23419292120443,19.1745736673851,4.20145533226448,31.9525833677847,27.3495367992737,7.93676285880132,23.1873191099438,0.608722582933453,10.0389424297303,38.3577557020429,9.83819844022595,47.1917609390266,98.3507115271575,15.5016128923915,15.5016128923915,2.70548726564031,11.3357813874089,16.218303504072,3.02748988864902,6.21445217727041,4.51792628506858,4.5055048879514
"84",10.7455609824008,0.90694651335989,4.6304160080836,4.05194789272319,8.3260809003085,4.221593383437,81.125705741999,33.2521449414961,-0.00158164794367204,0.01077705760737,0.09841040243405,0.0735986497178001,0.04864503353914,0.015211617977297,-0.00131041752078898,-0.003082433575606,-0.00298875251788799,-0.00337366677449003,40.3069424331152,27.3701347777688,50.3629420273072,64.4013379239745,55.5089247409807,42.032843971144,41.9551328470226,5.68810075401819,9.60776550127529,17.3134368562881,3.70954889544279,30.0804332247973,27.4002575517509,7.98542490289868,19.3933167355379,1.1279280514458,9.14870411514995,32.7852066448688,8.49230954452128,46.4663741040338,96.988685434396,15.2720371387534,15.2720371387534,2.33540298599014,8.0655664559416,12.8067408287114,3.57499300808779,3.96121178933869,3.91745618751655,3.56290613948614
"96",4.6803143330707,0.15061009383122,5.4327116080085,2.07584590679801,7.3035297546716,1.44709341283401,79.120790401135,31.525243179208,0.00089058625216834,0.0426699811875699,-0.00558118923600004,0.00318216503312985,0.00365139558309902,0.010196041471634,0.00515733517795203,0.00360536873892792,0.003185629855743,0.00300636608672,42.542601140126,19.0182567227315,50.8278507881509,63.935000786484,54.1644249049639,42.0237025765023,40.2967828637814,4.8037460150816,10.2617921309943,16.285852641767,3.20223249517886,29.1332253379415,26.0002995276872,7.60059037966521,17.058060575043,1.04516159286026,7.588603409352,30.0404990304083,7.45899382736232,46.438998581815,92.6646986799855,14.677515080176,14.677515080176,2.0512112152522,9.09136863678232,13.7698372844277,3.07805204826888,4.91694298838665,3.80637607229508,3.82071580734373
"721",7.7044622475983,2.95290346027734,4.5061902271991,7.7375112747051,9.57696849687663,8.25540194941689,78.8539527510618,22.627581183209,-0.00098460388803059,-0.073808229640078,0.09051311527591,0.18678596217396,0.20200034107417,0.021738842574294,0.015624966616426,0.012067296445211,0.0105501393363879,0.00937008172383791,41.6087681125035,18.6112416210826,61.2340857712086,72.5485842567145,64.8530851541783,38.7813730627715,35.982060530252,5.40687673311272,10.2352075099988,27.3619552634311,4.13423022468338,32.164509115942,25.3788869889306,4.60913279159249,11.2200361195397,1.306348217832,10.9315550061854,42.487721440005,9.66491420665882,50.5658663380731,88.4382870012789,8.8123610743502,8.8123610743502,2.65782879794105,9.04164305419762,15.8032583562575,2.63498927442722,3.67352772777757,2.19602434083803,4.50847871522146
"841",3.2279779836277,3.36521388831784,2.8310334799322,1.88807179211379,7.6542777237305,-1.93490921895699,66.295328838529,20.1860333238433,0.00011305208115285,-0.044422247547121,-0.0471900104377401,0.000258898236510152,0.06875081513777,0.057946743173148,0.032863998030595,0.034220399916714,0.032876891833531,0.0312449437844881,42.9325529918081,20.5972033421786,55.259084421815,63.1194811669537,55.5310960503105,42.2341380206966,38.9256960948994,5.94546705456712,13.0311871325043,21.5670579455085,3.33853769663096,27.6367009429941,22.7647149699345,4.04275702788778,8.61242337762766,1.91170363620037,8.63324570975672,32.0718046189693,7.7029222071685,42.917384323821,78.6722041883494,7.63324723619091,7.63324723619091,2.11828334930342,5.65964040583094,11.1543434782152,2.69816467658368,1.81756173097272,1.59605766795449,3.118754980026
"961",-0.112110827244802,1.77593703836062,3.3039330554661,0.804849983110898,6.3698321256502,-1.51317887911341,58.496543171108,17.5734783125442,-0.00016134701256704,-0.114478188609269,-0.11127397182256,-0.0628718733134801,0.0313022911388201,0.047561808956202,0.0320041002627109,0.03474713775965,0.035635737836373,0.036072346317135,50.0920628429833,25.3029110328544,55.1741034000498,61.2058411619903,48.2033946826459,39.4423571897244,33.738518282578,4.99883825530651,14.3279581149599,18.6266820181468,2.74862837143306,23.9407464239286,19.5545594572964,3.50077114998875,9.71383999097255,2.22575279295535,6.57427130648433,28.510704441247,6.33041212556851,37.784053780521,67.5532923640147,6.60188363926159,6.60188363926159,1.74083905679305,4.75372891733635,8.99651230972185,1.93510271923502,1.67715867383699,1.16963036381079,2.55854181335957
"722",11.6923825389522,4.83379134832441,5.4950028557122,16.6018845341955,8.70523226165675,56.325584341167,146.958376388658,62.1856867383194,0.00289899818821456,0.257248755510727,0.27137108844509,0.29693419852039,0.16629390119788,0.04085343069546,0.02949732636055,0.02363541224859,0.01777152768491,0.01345981287537,62.7553936163006,51.5469604210021,76.4176409912211,92.8071967535087,76.8000551517885,34.4590923826841,28.9188963503993,7.69744792913609,13.1355370866425,21.4578967772577,3.86597585624242,45.0820322090514,51.7116001764417,11.685726096115,19.1089933358373,0.891373541082992,14.9183911425766,37.4913499334709,8.77503500890276,73.0977502331686,179.80894864068,21.961383952118,21.961383952118,2.41312356752311,21.1523588353547,35.5358646428452,6.5895051321498,8.92815962383669,6.36617724840086,9.82638074523334
"842",8.1808352051569,4.32628470533292,4.7544272506683,10.1550553893974,7.0795098174375,23.499329766356,135.561588351437,61.683278304146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7419042736104,42.5251368676975,NA,NA,NA,39.0983816193469,33.0834094682202,7.97398949057183,12.8576211239633,NA,NA,NA,NA,NA,17.5053407681202,2.20784527543814,16.2614199059663,39.0316787772392,7.21195678659496,87.0477267858514,180.59652201001,19.2421405653506,19.2421405653506,1.9832990280138,NA,25.5713915517414,NA,NA,5.22627277462228,NA
"962",4.2157426976225,1.559796536349,4.0599847521222,5.8740543695632,6.1295861216815,11.791719892313,110.850029343991,54.504208328848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.324051752813,40.885256230725,NA,NA,NA,37.2691894048138,31.0435187556924,7.34787781437677,11.687711424112,NA,NA,NA,NA,NA,17.6459650853433,1.44803164138864,13.6702663662739,33.6426504085525,6.14349647619135,70.3980389814668,145.338104273423,17.642644938375,17.642644938375,1.68945657209831,NA,23.9779457952647,NA,NA,4.20993582366017,NA
"723",8.8658904748182,1.37425494262331,6.1691438406058,11.4754482783046,8.7364680631635,30.292279366872,135.353613476755,57.7802637186527,0.00842001822277248,-0.540940958256215,-0.0272098090755799,-0.0788642002790501,-0.0188994362159179,0.01722511057432,0.00417183254187004,0.00153063217645011,-0.000253431103820034,-0.00158554107618003,42.4756442400069,21.1752571241644,74.7051033820482,78.7790006698738,73.867602303193,41.5538296646833,42.8027853558066,6.99863919511771,11.0784461022658,24.3181566911442,3.7331782395937,38.2530302156472,45.7776622015808,6.87993869445904,11.661862351642,0.554828139500943,10.4768080673815,40.530357575302,8.795619637673,68.6904508253309,163.699973560647,13.4803833783072,13.4803833783072,2.41879598376245,20.6878327798866,32.3903313423914,9.54013394968949,7.64273238925002,10.6462132253784,7.79148944463366
